등급,상호명,설립일자,전화,주소,홈페이지,별점,1일 평균고객
특1급,힐튼 서울,2001년 10월 02일,02-753-7788,중구 남대문로 5가 395,www.hilton.co.kr,5,74
1등급,호텔아카시아,1989년 09월 08일,02-2277-4917,서울특별시 중구 을지로5가 99,www.hotelacacia.co.kr,4,96
1등급,호텔밀리오레,1968년 11월 15일,02-3393-6500,서울 중구 장충단로 263,www.hotelmigliore.co.kr,4.5,44
2등급,호텔 천지,2015년 03월 15일,02-2265-6131,중구 을지로5가,,4,97
비즈니스,호텔 더디자이너스,2021년 12월 12일,02-2271-3501,서울시 중구 퇴계로 306,www.hotelthedesigners.com,4,34
특2급,프레지던트 호텔,2010년 09월 01일,02-753-2170,중구 을지로 1가 188-3,www.hotelpresident.co.kr,4,11
1등급,퍼시픽 호텔,1974년 10월 15일,02-777-7811,중구 남산동 2가 31-1,www.thepacifichotel.co.kr,3.5,90
특2급,코리아나 호텔,1995년 03월 07일,02-730-9911,중구 태평로1가 61-1번지,www.koreanahotel.com,4,97
비즈니스,을지로코업레지던스,2016년 09월 03일,02-2269-4600,중구 을지6가 32번지,residences.co-op.co.kr,4,110
특1급,웨스틴 조선 호텔,2001년 03월 14일,02-771-0500,중구 소공동 87번지,www.westinchosun.co.kr,5,44
비즈니스,웨스트웨스턴호텔,2018년 12월 03일,02-741-7811,종로구 창신동,,3.5,99
비즈니스,웨스턴코업레지던스,2014년 04월 06일,02-2279-4500,중구 을지5가 77-2번지,residences.co-op.co.kr,4,51
2등급,아스토리아 호텔,2014년 10월 14일,02-2268-7111,중구 남학동 13-2,,3.5,68
비즈니스,써튼호텔,2020년 03월 15일,02-2260-6300,종로구 관수동,www.sutton.co.kr,4.5,107
비즈니스,써니하우스,2015년 03월 14일,02-2234-8893,서울 중구 퇴계로 333-1,www.sunnyhouse.kr,4,104
특1급,신라호텔,2002년 07월 20일,02-2233-3131,중구 장충동 2가 202,www.shilla.net,4,20
2등급,시티 팔라스 호텔,2013년 09월 03일,02-2244-2222,동대문구 답십리5동,,3.5,25
특2급,소피텔 엠버서더,1997년 06월 15일,02-2275-1101,중구 장충동 2가 186-54,www.ambatel.com,4,45
특2급,세종 호텔,1984년 11월 11일,02-773-6000,중구 충무로 2가 61-3,www.sejong.co.kr,4,24
특1급,서울 프라자 호텔,1980년 07월 03일,02-771-2200,중구 태평로 2가 23,www.hoteltheplaza.com,4.5,61
1등급,서울 렉스 호텔,1969년 03월 01일,02-752-3191,중구 회현동1가 65,www.hotelrex.co.kr,4,49
비즈니스,삼호호텔,2017년 05월 08일,02-741-7080,종로구 창신동,,3.5,101
2등급,사보이 호텔,2012년 10월 30일,02-776-2641,중구 충무로 1가 23-1,www.savoy.co.kr,4.5,20
특2급,반얀트리클럽앤스타,1998년 12월 01일,02-2250-8080,중구 장충동 2가 산 5-5,www.banyantreeclub.com,4.5,26
2등급,메트로 관광 호텔,2011년 11월 11일,02-752-1112,을지로2가 을지로 입구역,,3.5,20
특1급,롯데 호텔,1982년 04월 30일,02-771-1000,중구 소공동 1번지,www.hotellotte.co.kr,4.5,18
특2급,로얄 호텔,1998년 10월 31일,02-771-4500,중구 명동 1가 6번지,www.royal.co.kr,3.5,85
비즈니스,라임스테이,2021년 06월 30일,070-8945-8818,서울시 종로구 숭인동 201-15번지,www.limestay.com,4,102
특2급,라마다서울 동대문,2003년 12월 23일,02-2276-3521,중구 을지로 5가 275-3,www.ramadadm.com,4.5,70
2등급,뉴 오리엔탈 호텔,2012년 10월 30일,02-753-0701,중구 회현동 3가,,3.5,88
1등급,뉴 서울 호텔,2001년 02월 28일,02-735-9071,중구 태평로 1가 29-1,www.bestwesternnewseoul.co.kr,3.5,44
2등급,뉴 부림 호텔,2013년 09월 26일,02-962-0021,동대문구 전농동 청량리,,4,77
1등급,뉴 국제 호텔,1991년 07월 21일,02-732-0161,중구 태평로 1가 29-2,www.newkukjehotel.com,4,73
비즈니스,골든파크호텔,2019년 05월 15일,02-741-5071,종로구 창신동,,3,95
1등급,경남관광호텔,1990년 09월 25일,02-2247-2500,동대문구 장안동 366-7,www.kyungnamhotel.co.kr,4,34
1등급,PJ호텔,1973년 03월 05일,02-2280-7000,중구 인현동 2가 73-1,www.hotelpj.co.kr,4,15
1등급,KY헤리티지호텔,2002년 10월 10일,02-2198-1212,서울 중구 장충단로 226,www.ky-heritagehotel.com,4.5,56
